,title,sponsers,texts
4057,Servicemember Student Loan Affordability Act of 2015,"[Sen. Durbin, Richard J. [D-IL], Sen. Blumenthal, Richard [D-CT], Sen. Brown, Sherrod [D-OH], Sen. Markey, Edward J. [D-MA], Sen. Murray, Patty [D-WA], Sen. Tester, Jon [D-MT], Sen. Whitehouse, Sheldon [D-RI], Sen. Schatz, Brian [D-HI]]",Amends the Servicemembers Civil Relief Act to extend the 6% interest rate limitation on debt entered into during a servicemember's military service to any debt entered into to consolidate or refinance one or more student loans incurred before such service.
4058,"Department of Defense Appropriations Act, 2016","[Sen. Cochran, Thad [R-MS]]","Provides FY2016 appropriations to the Department of Defense (DOD) for military activities. Excludes military construction, military family housing, civil works projects of the Army Corps of Engineers, and nuclear warheads, which are all considered in other appropriations bills. "
4059,Pet and Women Safety Act of 2015,"[Sen. Shaheen, Jeanne [D-NH], Sen. Menendez, Robert [D-NJ], Sen. Cardin, Benjamin L. [D-MD], Sen. Murray, Patty [D-WA], Sen. Murphy, Christopher [D-CT], Sen. Portman, Rob [R-OH], Sen. Mikulski, Barbara A. [D-MD], Sen. Sanders, Bernard [I-VT], Sen. Schatz, Brian [D-HI], Sen. Warren, Elizabeth [D-MA], Sen. Casey, Robert P., Jr. [D-PA], Sen. Blumenthal, Richard [D-CT], Sen. Baldwin, Tammy [D-WI], Sen. Markey, Edward J. [D-MA], Sen. Collins, Susan M. [R-ME], Sen. Franken, Al [D-MN], Sen. Booker, Cory A. [D-NJ], Sen. Cantwell, Maria [D-WA], Sen. Vitter, David [R-LA], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Toomey, Pat [R-PA], Sen. Merkley, Jeff [D-OR], Sen. Stabenow, Debbie [D-MI], Sen. Leahy, Patrick J. [D-VT], Sen. Heinrich, Martin [D-NM], Sen. Schumer, Charles E. [D-NY], Sen. Murkowski, Lisa [R-AK], Sen. Coons, Christopher A. [D-DE], Sen. Wyden, Ron [D-OR], Sen. Burr, Richard [R-NC], Sen. Heller, Dean [R-NV], Sen. Brown, Sherrod [D-OH], Sen. Wicker, Roger F. [R-MS], Sen. Carper, Thomas R. [D-DE], None, Sen. Ayotte, Kelly [R-NH]]"," Amends the federal criminal code to prohibit threats or acts of violence against a person's pet under the offenses of stalking and interstate violation of a protection order. Defines ""pet"" to mean a domesticated animal that is kept for pleasure rather than for commercial purposes."
4060,A bill to amend the Commodity Exchange Act to provide end-users with a reasonable amount of time to meet their margin requirements and to repeal certain indemnification requirements for regulatory authorities to obtain access to swap data required to be provided by swaps entities.,"[None, Sen. Roberts, Pat [R-KS]]",The bill repeals the prerequisite to sharing by Commodity Futures Trading Commission (CFTC) with a specified entity of information on swaps cleared by derivatives clearing organizations that the entity agree to indemnify the CFTC for any expenses arising from litigation relating to that information.
4061,Captive Insurers Clarification Act,"[Sen. Coons, Christopher A. [D-DE], None, Sen. Leahy, Patrick J. [D-VT]]"," Amends the Nonadmitted and Reinsurance Reform Act of 2010 to define ""captive insurance company"" as an insurance company wholly owned directly or indirectly: (1) by a single parent company and whose primary purpose is to insure the risks of that single parent company or its affiliates; (2) by a group of companies and whose primary purpose is to insure the risks of that group or its affiliates; and (3) by an industry, trade, or service group or association, and whose primary purpose is to insure the risks of any member in that group or association, including any member affiliate."
4062,Craft Beverage Modernization and Tax Reform Act of 2015,"[Sen. Baldwin, Tammy [D-WI], Sen. Gardner, Cory [R-CO], Sen. Shaheen, Jeanne [D-NH], Sen. Ayotte, Kelly [R-NH], Sen. Bennet, Michael F. [D-CO], Sen. Moran, Jerry [R-KS], Sen. Kirk, Mark Steven [R-IL], Sen. Capito, Shelley Moore [R-WV], Sen. Vitter, David [R-LA], Sen. Hirono, Mazie K. [D-HI], Sen. Roberts, Pat [R-KS], Sen. Merkley, Jeff [D-OR], Sen. Peters, Gary C. [D-MI], Sen. Murkowski, Lisa [R-AK], Sen. Stabenow, Debbie [D-MI], Sen. Portman, Rob [R-OH], Sen. Tester, Jon [D-MT], Sen. Klobuchar, Amy [D-MN], Sen. Johnson, Ron [R-WI], Sen. Grassley, Chuck [R-IA], Sen. Carper, Thomas R. [D-DE], Sen. Leahy, Patrick J. [D-VT], Sen. Murphy, Christopher [D-CT], Sen. Murray, Patty [D-WA], Sen. Udall, Tom [D-NM], Sen. Booker, Cory A. [D-NJ], Sen. Heinrich, Martin [D-NM], Sen. Burr, Richard [R-NC], Sen. Brown, Sherrod [D-OH], Sen. Cantwell, Maria [D-WA], Sen. Casey, Robert P., Jr. [D-PA], Sen. Daines, Steve [R-MT], Sen. Coons, Christopher A. [D-DE], Sen. Sullivan, Dan  [R-AK], Sen. Cochran, Thad [R-MS], Sen. Toomey, Pat [R-PA], Sen. Tillis, Thom [R-NC], Sen. Menendez, Robert [D-NJ], Sen. Hoeven, John [R-ND], Sen. Isakson, Johnny [R-GA], Sen. Schumer, Charles E. [D-NY], Sen. Wicker, Roger F. [R-MS], Sen. Boozman, John [R-AR], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Graham, Lindsey [R-SC], Sen. Cassidy, Bill [R-LA], Sen. Cotton, Tom [R-AR], Sen. Ernst, Joni  [R-IA], Sen. Heitkamp, Heidi [D-ND], Sen. Boxer, Barbara [D-CA], None, Sen. Wyden, Ron [D-OR]]",Amends the Internal Revenue Code to: 
4063,Do Not Track Kids Act of 2015,"[Sen. Markey, Edward J. [D-MA], Sen. Kirk, Mark Steven [R-IL], Sen. Blumenthal, Richard [D-CT], Sen. Menendez, Robert [D-NJ]]",Amends the Children's Online Privacy Protection Act of 1998 to apply the prohibitions against collecting personal information from children to online applications and mobile applications directed to children. Establishes additional privacy protections against the collection of personal or geolocation information from children and minors.
4064,Guaranteed Paid Vacation Act,"[Sen. Sanders, Bernard [I-VT]]","This bill amends the Fair Labor Standards Act to require specified employers (including certain federal and state employers) who employ at least 15 employees at any time during a calendar year to provide each eligible employee at least 10 days of paid vacation time during each 12-month period, to be used on consecutive or nonconsecutive days."
4065,Military Consumer Protection Act,"[Sen. Reed, Jack [D-RI], Sen. Schumer, Charles E. [D-NY], Sen. Menendez, Robert [D-NJ], Sen. Warner, Mark R. [D-VA], Sen. Merkley, Jeff [D-OR], Sen. Warren, Elizabeth [D-MA], Sen. Blumenthal, Richard [D-CT], Sen. Franken, Al [D-MN], Sen. Durbin, Richard J. [D-IL], Sen. Kaine, Tim [D-VA], Sen. Hirono, Mazie K. [D-HI], Sen. Klobuchar, Amy [D-MN], Sen. Baldwin, Tammy [D-WI], Sen. Udall, Tom [D-NM]]",This bill amends the Consumer Financial Protection Act to extend Consumer Financial Protection Bureau oversight and protection to provisions under the Servicemembers Civil Relief Act concerning: 
4066,Cancer Drug Coverage Parity Act of 2015,"[Sen. Vitter, David [R-LA], Sen. Cassidy, Bill [R-LA], Sen. Collins, Susan M. [R-ME], Sen. Murphy, Christopher [D-CT], Sen. Merkley, Jeff [D-OR], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Brown, Sherrod [D-OH], Sen. Bennet, Michael F. [D-CO], Sen. Baldwin, Tammy [D-WI], Sen. Wicker, Roger F. [R-MS], Sen. Murkowski, Lisa [R-AK], Sen. Mikulski, Barbara A. [D-MD], Sen. Coons, Christopher A. [D-DE], Sen. Schumer, Charles E. [D-NY], Sen. Klobuchar, Amy [D-MN], Sen. Whitehouse, Sheldon [D-RI], Sen. Markey, Edward J. [D-MA], Sen. Blumenthal, Richard [D-CT], Sen. Cochran, Thad [R-MS], Sen. Warren, Elizabeth [D-MA], None, Sen. Kirk, Mark Steven [R-IL]]",This bill amends the Public Health Service Act to require a group or individual health plan that covers anticancer medications administered by a health care provider to provide no less favorable coverage for anticancer medications administered by a patient. A plan may apply to patient-administered anticancer medications only the cost-sharing and limitations that apply to anticancer medications administered by a health care provider.
4067,"A bill to amend title 10, United States Code, to provide for a review of the characterization or terms of discharge from the Armed Forces of individuals with mental health disorders alleged to affect terms of discharge.","[Sen. Tillis, Thom [R-NC], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Murphy, Christopher [D-CT], Sen. Stabenow, Debbie [D-MI], Sen. Baldwin, Tammy [D-WI], Sen. Tester, Jon [D-MT], Sen. Kirk, Mark Steven [R-IL], Sen. Rounds, Mike  [R-SD], Sen. Heitkamp, Heidi [D-ND], Sen. Coons, Christopher A. [D-DE], Sen. Sanders, Bernard [I-VT], Sen. Cardin, Benjamin L. [D-MD], Sen. Brown, Sherrod [D-OH], None, Sen. Peters, Gary C. [D-MI]]",Any board of review shall: 
4068,"A bill to extend the authorization to carry out the replacement of the existing medical center of the Department of Veterans Affairs in Denver, Colorado, to authorize transfers of amounts to carry out the replacement of such medical center, and for other purposes.","[Sen. Gardner, Cory [R-CO], Sen. Isakson, Johnny [R-GA], Sen. Bennet, Michael F. [D-CO]]","Authorizes the Department of Veterans Affairs (VA) to transfer specified amounts of the unobligated balances available to the VA for FY2015 from the following appropriations accounts to the Construction, Major Projects account to carry out the major medical facility construction project in Denver:"
4069,A bill to require a review of the adequacy of existing procedures to ensure at least one employee of the personal office of each Senator serving on a committee that requires access to top secret and sensitive compartmented information may obtain the security clearances necessary for the employee to have access to such information.,"[Sen. Vitter, David [R-LA], Sen. Tester, Jon [D-MT], Sen. Fischer, Deb [R-NE]]",NA
4070,American Export Promotion Act of 2015,"[Sen. Schatz, Brian [D-HI]]", Authorizes appropriations for the Industry and Analysis unit of the International Trade Administration (ITA) of the Department of Commerce for the ITA's Market Development Cooperator Program.
4071,Read the Bills Act,"[Sen. Paul, Rand [R-KY]]","This bill requires any bill or resolution introduced in either chamber of Congress to contain a provision citing the specific powers granted to Congress in the Constitution to enact the proposed measure, including all of its provisions."
4072,One Subject at a Time Act,"[Sen. Paul, Rand [R-KY]]"," Requires: (1) each bill or joint resolution to embrace no more than one subject, and (2) the subject to be clearly and descriptively expressed in the measure's title."
4073,Weather Alerts for a Ready Nation Act of 2015,"[Sen. Thune, John [R-SD]]","This bill directs the National Oceanic and Atmospheric Administration (NOAA) of the Department of Commerce, through the National Weather Service, to develop a plan to establish six regional weather forecast offices. "
4074,CARE Act,"[Sen. Merkley, Jeff [D-OR]]","Amends the Older Americans Act of 1965 to direct the Administration on Aging (AoA) of the Administration for Community Living of the Department of Health and Human Services to establish a community care wrap-around support demonstration program of grants to enable eligible entities to: (1) establish community care wrap-around support partnerships; and (2) carry out specified activities, including longitudinal care plans for each eligible older individual as well as medication management and medical nutrition therapy."
4075,Write the Laws Act,"[Sen. Paul, Rand [R-KY]]","Prohibits an Act of Congress from containing any delegation of legislative powers, whether to: (1) any component within the legislative branch, (2) the President or any other member of the executive branch, (3) the judicial branch, (4) any agency, (5) any quasi-public agency, (6) any state or state instrumentality, or (7) any other organization or individual."
4076,Representative Payee Fraud Prevention Act of 2015,"[Sen. Johnson, Ron [R-WI], None, Sen. Lankford, James [R-OK]]",Prohibits any person authorized by the Office of Personnel Management (OPM) to receive federal retirement payments on behalf of a minor or an individual of legal disability from embezzling or in any manner converting any amounts from such payments to a use other than for the benefit of such minor or individual. 
4077,East Rosebud Wild and Scenic Rivers Act,"[Sen. Tester, Jon [D-MT], Sen. Daines, Steve [R-MT]]", Amends the Wild and Scenic Rivers Act to designate specified river segments of the East Rosebud Creek in Montana as components of the National Wild and Scenic Rivers System. 
4078,Taxpayer Bill of Rights Enhancement Act of 2015,"[Sen. Isakson, Johnny [R-GA], Sen. Roberts, Pat [R-KS], None, Sen. Grassley, Chuck [R-IA]]","Amends the Internal Revenue Code, with respect to provisions affecting taxpayer rights, to: "
4079,NATIVE Act,"[Sen. Schatz, Brian [D-HI], None, Sen. Schatz, Brian [D-HI], Sen. Thune, John [R-SD], Sen. Udall, Tom [D-NM], Sen. Heller, Dean [R-NV], Sen. Tester, Jon [D-MT], Sen. Franken, Al [D-MN], Sen. Murkowski, Lisa [R-AK], Sen. Rounds, Mike  [R-SD], Sen. Sullivan, Dan  [R-AK], Sen. Heitkamp, Heidi [D-ND], Sen. Hoeven, John [R-ND], Sen. Peters, Gary C. [D-MI]]",Directs the Departments of Commerce and the Interior and each federal agency that has recreational travel or tourism functions or complementary programs to update their management plans and tourism strategies to include Indian tribes and organizations.
4080,Competitive Service Act of 2015,"[Sen. Tester, Jon [D-MT], Sen. Portman, Rob [R-OH], Sen. Cardin, Benjamin L. [D-MD], Sen. Moran, Jerry [R-KS], Sen. Heitkamp, Heidi [D-ND], Sen. Enzi, Michael B. [R-WY], Sen. Johnson, Ron [R-WI]]","Authorizes an appointing authority (i.e., a federal agency appointing an individual to a position in the competitive service), other than the appointing authority that requested the certificate of eligibles for filling a position in the competitive service, to select an individual from that certificate for appointment to a position that is: (1) in the same occupational series as the position for which the certificate of eligibles was issued, and (2) at a similar grade level as the original position. Sets forth requirements relating to the sharing of certificates, notice, and selection of job applicants. "
4081,Clean Vehicle Corridors Act,"[Sen. Casey, Robert P., Jr. [D-PA]]", Requires the Department of Transportation (DOT) to: 
4082,Preserving American Homeownership Act of 2015,"[None, Sen. Menendez, Robert [D-NJ]]"," Requires the Director of the Federal Housing Finance Agency and the Federal Housing Commissioner each to establish a pilot program to encourage the use of shared equity mortgage modifications designed to return greater net present value to investors than other loss-mitigation activities, including foreclosure."
4083,A bill to authorize the expansion of an existing hydroelectric project.,"[Sen. Murkowski, Lisa [R-AK]]",The tunnel and associated facilities shall be subject to terms and conditions in any amendment to a license issued by the Federal Energy Regulatory Commission.
4084,Renewable Fuel Standard Repeal Act,"[Sen. Cassidy, Bill [R-LA], Sen. Barrasso, John [R-WY], Sen. Lee, Mike [R-UT], Sen. Lankford, James [R-OK], Sen. Heller, Dean [R-NV]]","This bill amends the Clean Air Act to repeal the renewable fuel standard, which requires transportation fuel sold in the United States to contain a minimum volume of renewable fuel. "
4085,"A bill to authorize the Federal Energy Regulatory Commission to issue an order continuing a stay of a hydroelectric license for the Mahoney Lake hydroelectric project in the State of Alaska, and for other purposes.","[Sen. Murkowski, Lisa [R-AK]]"," Upon subsequent licensee request, but no later than 10 years after enactment of this Act, FERC shall: (1) lift the stay of the license, and (2) make the license's effective date the one upon which the stay is lifted. "
4086,Great Lakes Water Protection Act,"[Sen. Kirk, Mark Steven [R-IL]]","This bill amends the Federal Water Pollution Control Act (commonly known as the Clean Water Act) to prohibit a publicly owned treatment works (POTW) from discharging untreated or partially treated sewage into the Great Lakes or a tributary of the Great Lakes when the discharge is the result of the POTW intentionally diverting waste streams to bypass any portion of a treatment facility. A bypass is allowed if: (1) it is unavoidable to prevent loss of life, personal injury, or severe property damage, there is no feasible alternative, and the treatment works provides notice; or (2) it does not cause effluent (waste) limitations to be exceeded and is for essential maintenance to ensure efficient operation of the treatment facility. "
4087,Authority for the Use of Military Force Against the Islamic State of Iraq and the Levant Act,"[Sen. Kaine, Tim [D-VA], Sen. Flake, Jeff [R-AZ], Sen. Nelson, Bill [D-FL]]","This bill authorizes the President to use the U.S. Armed Forces for three years against the Islamic State of Iraq and the Levant (ISIL), any closely related successor entity, or associated persons or forces."
4088,Mental Health in Schools Act of 2015,"[Sen. Franken, Al [D-MN], Sen. Coons, Christopher A. [D-DE], Sen. Heinrich, Martin [D-NM], Sen. Murphy, Christopher [D-CT], Sen. Schatz, Brian [D-HI], Sen. Durbin, Richard J. [D-IL], Sen. Cardin, Benjamin L. [D-MD], Sen. Warren, Elizabeth [D-MA], Sen. Hirono, Mazie K. [D-HI], Sen. Brown, Sherrod [D-OH], Sen. Udall, Tom [D-NM], Sen. Wyden, Ron [D-OR], Sen. Schumer, Charles E. [D-NY], Sen. Whitehouse, Sheldon [D-RI]]","Amends the Public Health Service Act to revise a community children and violence program to assist local communities and schools in applying a public health approach to mental health services, including by: (1) revising eligibility requirements for a grant, contract, or cooperative agreement; and (2) providing for comprehensive school mental health programs that are culturally and linguistically appropriate, trauma-informed, and age appropriate. Requires a comprehensive school mental health program funded under this Act to assist children in dealing with trauma and violence. Makes only a partnership between a local educational agency and at least one community program or agency that is involved in mental health eligible for funding."
4089,BRIDGE Act,"[Sen. Graham, Lindsey [R-SC], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Coons, Christopher A. [D-DE], Sen. Klobuchar, Amy [D-MN], Sen. Wicker, Roger F. [R-MS], Sen. McCaskill, Claire [D-MO], Sen. Kirk, Mark Steven [R-IL], Sen. Blumenthal, Richard [D-CT], Sen. Tillis, Thom [R-NC], Sen. Heller, Dean [R-NV], None, Sen. Warner, Mark R. [D-VA]]"," Establishes the Infrastructure Financing Authority (IFA) as a wholly-owned government corporation, headed by a Chief Executive Officer and managed by a Board of Directors, which shall provide direct loans and loan guarantees to facilitate the construction, consolidation, alteration, or repair of transportation, water, and energy infrastructure projects. Requires infrastructure projects assisted under this Act to have costs reasonably anticipated to equal or exceed $50 million ($10 million for rural infrastructure projects). "
4090,Pregnancy Discrimination Amendment Act,"[Sen. Fischer, Deb [R-NE], Sen. Kirk, Mark Steven [R-IL], Sen. Grassley, Chuck [R-IA], None, Sen. Murkowski, Lisa [R-AK]]","Amends provisions of the Civil Rights Act of 1964 that protect against pregnancy discrimination in the workplace to provide for women affected by pregnancy, childbirth, or related medical conditions to be treated the same for all employment-related purposes as any other persons who are applicants for employment with, or employees of, the same employer in work that is performed under similar working conditions and who are not so affected but are similar in their temporary ability or inability to work."
4091,Land Management Workforce Flexibility Act of 2015,"[Sen. Tester, Jon [D-MT], Sen. McCaskill, Claire [D-MO], Sen. Peters, Gary C. [D-MI]]","Makes an employee of a land management agency serving under a time-limited appointment in the competitive service eligible to compete for a permanent appointment in the agency or any other agency if: (1) the original appointment was competitive, (2) the employee has served under one or more time-limited appointments totaling more than 24 months without a break of two or more years, and (3) the employee's performance has been at an acceptable level. "
4092,A bill to clarify the description of certain Federal land under the Northern Arizona Land Exchange and Verde River Basin Partnership Act of 2005 to include additional land in the Kaibab National Forest.,"[Sen. Flake, Jeff [R-AZ], Sen. McCain, John [R-AZ]]","Amends the Northern Arizona Land Exchange and Verde River Basin Partnership Act of 2005 to include as ""certain land located within the Kaibab National Forest"" to be conveyed to the Yavapai Ranch Limited Partnership approximately 25 acres of land at the Gila and Salt River Meridian, Coconino County."
4093,Immigration Slush Fund Elimination Act of 2015,"[Sen. Cruz, Ted [R-TX]]",This bill amends the Immigration and Nationality Act (INA) to provide that the following fees shall be miscellaneous receipts to be deposited in the general fund of the Treasury: 
4094,Arm All Pilots Act of 2015,"[Sen. Paul, Rand [R-KY]]",This bill revises requirements for the federal flight deck officer program.
4095,Protecting Individuals From Mass Aerial Surveillance Act of 2015,"[Sen. Wyden, Ron [D-OR], Sen. Heller, Dean [R-NV]]","Prohibits a federal entity from using unmanned aircraft or other mobile aerial-view devices (MAVDs) to: (1) surveil property, persons, or their effects; or (2) gather evidence pertaining to known or suspected criminal conduct, or conduct that violates a statute or regulation."
4096,"A bill to designate the facility of the United States Postal Service located at 2082 Stringtown Road in Grove City, Ohio, as the ""Specialist Joseph W. Riley Post Office Building"".","[None, Sen. Portman, Rob [R-OH]]",NA
4097,Patient-Focused Impact Assessment Act of 2016,"[Sen. Wicker, Roger F. [R-MS], Sen. Klobuchar, Amy [D-MN], Sen. Collins, Susan M. [R-ME], Sen. Franken, Al [D-MN], Sen. Isakson, Johnny [R-GA], Sen. Bennet, Michael F. [D-CO], Sen. Donnelly, Joe [D-IN], Sen. Cotton, Tom [R-AR], Sen. Murkowski, Lisa [R-AK]]","This bill amends the Federal Food, Drug, and Cosmetic Act to require the package of information published by the Food and Drug Administration (FDA) upon approval of a new drug to include documentation of efforts to assess patient engagement. This documentation must include identification of patient-focused drug development tools and an explanation of whether certain information was reviewed or examined, including patient preferences and patient-reported or caregiver-reported outcomes. The FDA must annually summarize the data collected in this documentation."
4098,First Amendment Defense Act,"[Sen. Lee, Mike [R-UT], Sen. Vitter, David [R-LA], Sen. Cruz, Ted [R-TX], Sen. Crapo, Mike [R-ID], Sen. Rubio, Marco [R-FL], Sen. Inhofe, James M. [R-OK], Sen. Roberts, Pat [R-KS], Sen. Enzi, Michael B. [R-WY], Sen. Perdue, David [R-GA], Sen. Sessions, Jeff [R-AL], Sen. Daines, Steve [R-MT], Sen. Graham, Lindsey [R-SC], Sen. Hatch, Orrin G. [R-UT], Sen. Cotton, Tom [R-AR], Sen. Risch, James E. [R-ID], Sen. Cassidy, Bill [R-LA], Sen. Rounds, Mike  [R-SD], Sen. Wicker, Roger F. [R-MS], Sen. Sasse, Ben  [R-NE], Sen. Shelby, Richard C. [R-AL], Sen. Thune, John [R-SD], Sen. Lankford, James [R-OK], Sen. Fischer, Deb [R-NE], Sen. Cornyn, John [R-TX], Sen. Hoeven, John [R-ND], Sen. Isakson, Johnny [R-GA], Sen. Coats, Daniel [R-IN], Sen. Cochran, Thad [R-MS], Sen. Johnson, Ron [R-WI], Sen. Sullivan, Dan  [R-AK], Sen. Boozman, John [R-AR], Sen. Tillis, Thom [R-NC], Sen. Burr, Richard [R-NC], Sen. Barrasso, John [R-WY], Sen. McCain, John [R-AZ], Sen. Paul, Rand [R-KY], Sen. Scott, Tim [R-SC], Sen. Moran, Jerry [R-KS]]","Prohibits the federal government from taking discriminatory action against a person on the basis that such person believes or acts in accordance with a religious belief or moral conviction that: (1) marriage is or should be recognized as the union of one man and one woman, or (2) sexual relations are properly reserved to such a marriage."
4099,Criminal Antitrust Anti-Retaliation Act of 2015,"[None, Sen. Grassley, Chuck [R-IA]]","This bill amends the Antitrust Criminal Penalty Enhancement and Reform Act of 2004 to prohibit an employer from discharging, demoting, suspending, harassing, or in any other manner discriminating against an employee, contractor, subcontractor, or agent of such employer (covered individual) who: (1) provided information to the employer or the federal government concerning a violation of antitrust law or of another criminal law committed in conjunction with a potential violation of antitrust law or in conjunction with an antitrust investigation by the Department of Justice; or (2) filed, testified, participated, or otherwise assisted in an investigation relating to such a violation. This protection does not extend, however, to any covered individual who planned and initiated such a violation or an obstruction to its investigation."
4100,Judicial Redress Act of 2015,"[Sen. Murphy, Christopher [D-CT], Sen. Hatch, Orrin G. [R-UT]]","Authorizes the Department of Justice (DOJ) to designate foreign countries or regional economic integration organizations whose natural citizens may bring civil actions under the Privacy Act of 1974 against certain U.S. government agencies for purposes of accessing, amending, or redressing unlawful disclosures of records maintained by an agency."
4101,SAFE Act,"[Sen. Whitehouse, Sheldon [D-RI]]","This bill requires the President to establish an interagency National Fish, Wildlife, and Plants Climate Adaptation Strategy Joint Implementation Working Group to adopt the National Fish, Wildlife, and Plants Climate Adaptation Strategy (released March 26, 2013) to protect, manage, and conserve fish, wildlife, and plants to maintain the inherent resilience and adaptability of fish, wildlife, and plants to withstand the ongoing and expected effects of extreme weather and climate change."
4102,Puerto Rico Hospital HITECH Amendments Act of 2015,"[Sen. Menendez, Robert [D-NJ], Sen. Rubio, Marco [R-FL], Sen. Schumer, Charles E. [D-NY], Sen. Nelson, Bill [D-FL]]",Amends title XVIII (Medicare) of the Social Security Act to apply Medicare HITECH (Health Information Technology for Economic and Clinical Health Act) payments to subsection (d) hospitals in Puerto Rico to allow them to qualify for incentives for adoption and meaningful use of certified electronic health record Technology.
4103,Born-Alive Abortion Survivors Protection Act,"[Sen. Flake, Jeff [R-AZ], Sen. Johnson, Ron [R-WI], Sen. McCain, John [R-AZ], Sen. Schumer, Charles E. [D-NY], Sen. Baldwin, Tammy [D-WI], Sen. Tillis, Thom [R-NC], Sen. Vitter, David [R-LA], Sen. Sullivan, Dan  [R-AK], Sen. Feinstein, Dianne [D-CA], Sen. Lankford, James [R-OK], Sen. Toomey, Pat [R-PA], Sen. Burr, Richard [R-NC], Sen. Blumenthal, Richard [D-CT], Sen. Inhofe, James M. [R-OK], None, Sen. Johnson, Ron [R-WI]]","Directs the Department of Homeland Security (DHS): (1) in conjunction with the Department of Defense (DOD), to identify Military Occupational Specialty Codes, Air Force Specialty Codes, Naval Enlisted Classifications and Officer Designators, and Coast Guard Competencies (qualifications) that are transferable to the requirements and duties assigned to Customs and Border Protection (CBP) Officers; and (2) to consider hiring qualified candidates with such qualifications who are eligible for veterans recruitment appointment."
4104,Transition to Independence Act,"[Sen. Grassley, Chuck [R-IA], Sen. Wyden, Ron [D-OR], Sen. Casey, Robert P., Jr. [D-PA], Sen. Kirk, Mark Steven [R-IL]]","This bill directs the Secretary of Health and Human Services to establish a demonstration program over five fiscal years, beginning with FY2017, under which a Medicaid Buy-In State meeting certain criteria may receive bonus payments for:"
4105,Millennium Compacts for Regional Economic Integration Act,"[Sen. Cardin, Benjamin L. [D-MD], Sen. Flake, Jeff [R-AZ], Sen. Coons, Christopher A. [D-DE], Sen. Isakson, Johnny [R-GA], Sen. Whitehouse, Sheldon [D-RI], Sen. Murphy, Christopher [D-CT], Sen. Peters, Gary C. [D-MI]]"," States that the purpose of this Act is to expand the Millennium Challenge Corporation's ability to develop compacts with nations, particularly in Africa, that promote regional economic integration and cross-border collaborations."
4106,Digital Learning Equity Act of 2015,"[None, Sen. King, Angus S., Jr. [I-ME]]","This bill amends the Elementary and Secondary Education Act of 1965 to establish a digital learning equity demonstration program that awards grants for developing, implementing, and evaluating strategies and methods to increase students' home access to the Internet and digital learning resources. This may include such practices as: (1) providing a targeted distribution of technology, such as a modem, that provides out-of-school Internet access to eligible students; (2) educating and training students, parents, and educators regarding the appropriate use of that technology outside of the classroom; and (3) evaluating the effectiveness of relevant strategies and methods. "
4107,Independent Agency Regulatory Analysis Act of 2015,"[Sen. Portman, Rob [R-OH], Sen. Warner, Mark R. [D-VA], Sen. Collins, Susan M. [R-ME], Sen. Lankford, James [R-OK], Sen. Ernst, Joni  [R-IA], Sen. Kirk, Mark Steven [R-IL], Sen. Johnson, Ron [R-WI]]","Authorizes the President to require an independent regulatory agency to: (1) comply, to the extent permitted by law, with regulatory analysis requirements applicable to other federal agencies; (2) publish and provide the Office of Information and Regulatory Affairs with an assessment of the costs and benefits of a proposed or final economically significant rule (i.e., a rule that is likely to have an annual effect on the economy of $100 million or more and is likely to adversely affect sectors of the economy in a material way) and an assessment of costs and benefits of alternatives to the rule; and (3) submit to the Office for review any proposed or final economically significant rule."
4108,Consumer Drone Safety Act,"[Sen. Boxer, Barbara [D-CA], Sen. Blumenthal, Richard [D-CT], Sen. Reed, Jack [D-RI], None, Sen. Feinstein, Dianne [D-CA]]",This bill directs the Federal Aviation Administration (FAA) to publish a final rule containing safety requirements for the operation of consumer drones.
4109,Middle School STEP Act,"[Sen. Casey, Robert P., Jr. [D-PA], Sen. Whitehouse, Sheldon [D-RI], Sen. Warner, Mark R. [D-VA], Sen. Ayotte, Kelly [R-NH], Sen. Shaheen, Jeanne [D-NH], Sen. Wyden, Ron [D-OR], None, Sen. Kaine, Tim [D-VA]]", Directs the Department of Education to:
4110,BALTIMORE Act,"[Sen. Cardin, Benjamin L. [D-MD], Sen. Mikulski, Barbara A. [D-MD]]",End Racial Profiling Act of 2015
4111,Coast Guard Authorization Act of 2015,"[Sen. Thune, John [R-SD], Sen. Nelson, Bill [D-FL], Sen. Rubio, Marco [R-FL], Sen. Booker, Cory A. [D-NJ], Sen. Sullivan, Dan  [R-AK], Sen. Wicker, Roger F. [R-MS]]",This bill authorizes appropriations for the Coast Guard for FY2016-FY2017.
4112,Safe Skies Act of 2015,"[Sen. Boxer, Barbara [D-CA], Sen. Cantwell, Maria [D-WA], Sen. Klobuchar, Amy [D-MN], Sen. Markey, Edward J. [D-MA], Sen. Shaheen, Jeanne [D-NH], Sen. Blumenthal, Richard [D-CT], Sen. Franken, Al [D-MN]]"," Directs the Department of Transportation (DOT), not later than 30 days after enactment of this Act, to modify a specified DOT final rule relating to flightcrew member duty and rest requirements so that the requirements under that rule apply to all-cargo flightcrew members to the same extent they apply to air passenger flightcrew members."
